Latitude,Longitude,PM25
32.0,11.875,43.197803
32.0,12.5,37.78488
32.0,13.125,35.078854
32.0,13.75,36.66149
32.0,14.375,43.260384
32.0,15.0,40.777454
32.0,15.625,33.140152
32.0,16.25,28.920313
32.0,16.875,27.000439
32.0,17.5,25.652237
32.0,18.125,24.621439
32.0,18.75,23.834265
32.0,19.375,23.648132
32.0,20.0,23.713621
32.0,20.625,24.172699
32.0,21.25,24.00528
32.0,21.875,24.117897
32.0,22.5,24.765713
32.0,23.125,25.536963
32.0,23.75,24.085564
32.0,24.375,21.5611
32.0,25.0,21.309048
32.0,25.625,20.890343
32.0,26.25,20.472382
32.0,26.875,20.454542
32.0,27.5,20.638315
32.0,28.125,21.104206
32.0,28.75,21.829603
32.0,29.375,22.51312
32.0,30.0,22.95571
32.0,30.625,23.297092
32.0,31.25,23.509367
32.0,31.875,23.295654
32.0,32.5,23.59355
32.0,33.125,24.54089
32.0,33.75,25.554222
32.0,34.375,27.082073
32.0,35.0,29.487417
32.0,35.625,29.971945
32.0,36.25,30.393656
32.0,36.875,28.620415
32.0,37.5,27.804888
32.0,38.125,27.579332
32.0,38.75,27.10086
32.0,39.375,26.905693
32.0,40.0,27.471153
32.0,40.625,28.436026
32.0,41.25,30.12856
32.0,41.875,31.706236
32.0,42.5,33.75589
32.0,43.125,36.24186
32.0,43.75,41.787964
32.0,44.375,42.08262
32.0,45.0,39.802254
32.0,45.625,39.61781
32.0,46.25,45.154285
32.0,46.875,52.581894
32.0,47.5,52.15011
32.5,-28.125,4.81919
32.5,-27.5,5.0945387
32.5,-26.875,5.2952733
32.5,-26.25,5.5422897
32.5,-25.625,5.747985
32.5,-25.0,5.707939
32.5,-24.375,5.60364
32.5,-23.75,5.52156
32.5,-23.125,5.4393196
32.5,-22.5,5.3514466
32.5,-21.875,5.2389855
32.5,-21.25,5.202491
32.5,-20.625,5.2992296
32.5,-20.0,5.490861
32.5,-19.375,5.662925
32.5,-18.75,5.854355
32.5,-18.125,5.98389
32.5,-17.5,6.208181
32.5,-16.875,6.5956383
32.5,-16.25,7.1486998
32.5,-15.625,7.5930347
32.5,-15.0,7.8318586
32.5,-14.375,8.053341
32.5,-13.75,8.508242
32.5,-13.125,8.813697
32.5,-12.5,8.738265
32.5,-11.875,8.720968
32.5,-11.25,8.591942
32.5,-10.625,8.55464
32.5,-10.0,8.974386
32.5,-9.375,10.220736
32.5,-8.75,13.091032
32.5,-8.125,14.762813
32.5,-7.5,16.129572
32.5,-6.875,17.181742
32.5,-6.25,18.025694
32.5,-5.625,19.007904
32.5,-5.0,20.546854
32.5,-4.375,21.56201
32.5,-3.75,22.158823
32.5,-3.125,23.684267
32.5,-2.5,25.37403
32.5,-1.875,26.368402
32.5,-1.25,27.233917
32.5,-0.625,27.651134
32.5,0.0,28.744059
32.5,0.625,30.115108
32.5,1.25,30.965324
32.5,1.875,31.713543
32.5,2.5,33.644806
32.5,3.125,36.32356
32.5,3.75,41.09222
32.5,4.375,47.500214
32.5,5.0,55.84023
32.5,5.625,65.1909
32.5,6.25,70.66651
32.5,6.875,75.29893
32.5,7.5,76.04232
32.5,8.125,71.244774
32.5,8.75,66.30221
32.5,9.375,59.543846
32.5,10.0,47.950165
32.5,10.625,47.610626
32.5,11.25,53.299164
32.5,11.875,53.241432
32.5,12.5,40.37668
32.5,13.125,34.766006
32.5,13.75,34.35705
32.5,14.375,36.86544
32.5,15.0,33.90269
32.5,15.625,28.905996
32.5,16.25,26.530739
32.5,16.875,25.27442
32.5,17.5,24.300327
32.5,18.125,23.680897
32.5,18.75,22.883371
32.5,19.375,22.589226
32.5,20.0,22.13784
32.5,20.625,21.597221
32.5,21.25,21.37668
32.5,21.875,21.885277
32.5,22.5,21.885048
32.5,23.125,21.811508
32.5,23.75,20.430935
32.5,24.375,19.67117
32.5,25.0,19.407557
32.5,25.625,19.18435
32.5,26.25,19.054787
32.5,26.875,19.190687
32.5,27.5,19.463118
32.5,28.125,19.939411
32.5,28.75,20.549135
32.5,29.375,21.133781
32.5,30.0,21.497059
32.5,30.625,21.822622
32.5,31.25,22.022928
32.5,31.875,21.976723
32.5,32.5,22.12663
32.5,33.125,22.670946
32.5,33.75,23.48879
32.5,34.375,24.920265
32.5,35.0,26.94166
32.5,35.625,29.388727
32.5,36.25,29.565046
32.5,36.875,26.985344
32.5,37.5,25.928
32.5,38.125,26.05682
32.5,38.75,26.074728
