type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
small_airport,Bořitov UL,49.4361111,16.5941667,1247,CZ,,
small_airport,Miroslav Aircon UL,48.931667,16.339722,715,CZ,,
small_airport,Slušovice,49.2588889,17.8133333,,CZ,,
small_airport,Chřibská,50.8580556,14.4669444,,CZ,,
small_airport,Polepy,50.5213889,14.2716667,,CZ,,
small_airport,Říčany,49.9744444,14.6491667,,CZ,,
small_airport,Sázava,49.8877778,14.9394444,,CZ,,
small_airport,Třebíč,49.1983333,15.9030556,,CZ,,
small_airport,Borovník,49.3586111,16.2422222,,CZ,,
small_airport,Škudly,50.0219444,15.5205556,,CZ,,
small_airport,Dačice,49.07,15.4558333,,CZ,,
small_airport,Jehnědí,49.965,16.3097222,,CZ,,
small_airport,Kunětice,50.0683333,15.8125,,CZ,,
small_airport,Charvátce,50.4336111,13.8113889,,CZ,,
small_airport,Letovice,49.5466667,16.5986111,,CZ,,
small_airport,Lomnice nad Popelkou,50.54,15.3880556,,CZ,,
small_airport,Boršice,49.0513889,17.3675,,CZ,,
small_airport,Horní Počáply,50.4180556,14.3841667,,CZ,,
small_airport,Strážnice,48.8877778,17.2944444,614,CZ,,
small_airport,Boleradice,48.9619444,16.8316667,649,CZ,,
small_airport,Opava,49.9405556,17.9861111,850,CZ,,
small_airport,Doudleby,48.8851123,14.4862242,1542,CZ,,
small_airport,Hory,50.21695,12.77669,,CZ,,
small_airport,Dvorce,48.99913,14.72214,1509,CZ,,
small_airport,Ostrov,50.3366667,12.9697222,,CZ,,
small_airport,Bystřice,49.5227778,16.2322222,1942,CZ,,
small_airport,Choteč,50.4338889,15.5305556,1076,CZ,,
small_airport,Dětřichov Oáza,49.7291667,17.1180556,751,CZ,,
small_airport,Záhoří,49.466389,17.665278,1040,CZ,,
small_airport,Plešnice,49.7722222,13.1622222,1339,CZ,,
small_airport,Rohozec,49.9819444,15.3927778,679,CZ,,
small_airport,Sazomín Ultralight Field,49.5086111,15.9711111,1827,CZ,,
small_airport,Litoměřice,50.5265146,14.18616,492,CZ,,
small_airport,Bezno Airstrip,50.356925,14.8068316,,CZ,,
small_airport,Dušníky ULM,50.4127778,14.1980556,728,CZ,,
small_airport,Miroslav ULM,48.9313889,16.2986111,781,CZ,,
small_airport,Příchvoj Airstrip,50.4413502,15.2359791,,CZ,,
small_airport,Kralovice Airstrip,49.9850905,13.5288169,,CZ,,
small_airport,Katovice Airstrip,49.2683546,13.8007759,,CZ,,
small_airport,Kněžmost Airstrip,50.4786227,15.0055081,,CZ,,
small_airport,Dynín Airstrip,49.128341,14.633441,,CZ,,
small_airport,Zbudov Airstrip,50.1115322,16.5174506,,CZ,,
small_airport,Kozojedy Airstrip,50.3250052,15.3889036,,CZ,,
small_airport,Letiště Poličná / Juřinka,49.4763957,17.9254001,,CZ,,
small_airport,Letiště Ivančice u Brna,49.0953743,16.4805158,,CZ,,
small_airport,Kelč Airstrip,49.4577713,17.8201705,,CZ,,
small_airport,Chotěnov Airstrip,49.8241768,16.1947127,,CZ,,
small_airport,Štětí Airstrip,50.465,14.4061111,787,CZ,,
small_airport,Letiště Všeň,50.55596,15.09287,,CZ,,
small_airport,Letiště Kněžice u Jičína,50.262998,15.297407,,CZ,,
small_airport,Letiště Poděbrady,50.1844783,15.1663157,,CZ,,
small_airport,Letiště Opava - Kylešovice,49.8991666,17.9229588,,CZ,,
small_airport,Velké Pavlovice ULM,48.880556,16.825,,CZ,,
small_airport,Osičiny Airstrip,50.0158333,14.7722222,1280,CZ,,
small_airport,Libchava Airstrip,50.7031613,14.4992199,,CZ,,
small_airport,Želeč Airstrip,49.3305554,14.6588888,1513,CZ,,
small_airport,Bojkovice Airfield,49.0302777,17.8172221,,CZ,,
small_airport,Křinec Airstrip,50.2547002,15.1251079,646,CZ,,
small_airport,Nová Včelnice Airstrip,49.2672221,15.0777777,1765,CZ,,
small_airport,Litomyšl Airstrip,49.8744443,16.3352777,1258,CZ,,
small_airport,Strachotice Airstrip,48.806369,16.162371,695,CZ,,
small_airport,Radovesice Airfield,50.4088888,14.0838888,538,CZ,,
small_airport,Loučeň Airstrip,50.2787436,15.0610071,636,CZ,,
small_airport,Libkovice,50.5613889,13.6838889,909,CZ,,
small_airport,Zbilidy UL,49.448033,15.440085,2071,CZ,,
small_airport,Letiště Stará Paka,50.5013889,15.4830556,1588,CZ,,
small_airport,Letiste Lipová,51.0087306,14.3438527,,CZ,,
small_airport,Jinošov Airstrip,49.2275,16.1738889,,CZ,,
small_airport,Letiště Bánov,48.9833989,17.7045864,,CZ,,
small_airport,Veselí,50.0069444,15.6177777,,CZ,,
small_airport,Letiště Komárovice,49.3396342,15.6734886,,CZ,,
small_airport,Milotice Airstrip,48.9361588,17.124342,,CZ,,
small_airport,Baška,49.6430556,18.3516667,,CZ,,
small_airport,Trutnov,50.5675,15.865278,,CZ,,
small_airport,Místek,49.6527778,18.3458333,1066,CZ,,
small_airport,Letiště Hať u Hlučína,49.951812,18.2651648,,CZ,,
small_airport,Letiště Náchod,50.4130556,16.1216667,1443,CZ,,
small_airport,Moravský Beroun,49.786111,17.486111,2218,CZ,,
small_airport,Šumvald UL,49.845196,17.138485,902,CZ,,
small_airport,Sedliště Airstrip,49.7220654,18.3749167,,CZ,,
small_airport,Konojedy Airstrip,49.9511008,14.8699442,,CZ,,
small_airport,Letiště Milhostov,50.1629324,12.4607608,,CZ,,
small_airport,Letiště Luhačovice,49.088188,17.718769,,CZ,,
small_airport,Letiště Mladá,50.243594,14.8558562,,CZ,,
small_airport,Hatě,48.7615521,16.0554078,,CZ,,
small_airport,Hrochův Týnec Airstrip,49.9462027,15.8954004,,CZ,,
small_airport,Bořetice Airstrip,48.9170378,16.8413172,,CZ,,
small_airport,Chvojenec Airstrip,50.105662,15.925798,,CZ,,
small_airport,Dolní Bojanovice Airstrip,48.85482,17.01794,,CZ,,
small_airport,Šeborov Airstrip,49.356253,15.926403,,CZ,,
small_airport,Letiště Kejžlice,49.591899,15.401365,,CZ,,
small_airport,Budkovice Airfield,49.079657,16.355124,,CZ,,
small_airport,Rovná Airstrip,50.10129,12.67911,,CZ,,
small_airport,August-Euler Flugplatz,49.853757,8.586243,,DE,,
small_airport,Flugplatz Gransee,53.006699,13.205,164,DE,EDUG,
small_airport,Warngau Airfield,47.825011,11.703733,2380,DE,,
small_airport,Sonderlandeplatz Locktow,52.11639,12.709444,213,DE,,
small_airport,Berlinchen Airfield,53.22517752,12.56552696,,DE,,
small_airport,Utscheid Segelflugplatz,49.99777778,6.342777778,1390,DE,,
small_airport,Aichach Glider Field,48.471798,11.134349,1445,DE,,
small_airport,Zierenberg Airfield,51.367,9.336,1450,DE,,
small_airport,Zellhausen Gliderport,50.018845,8.984376,370,DE,,
small_airport,Segelflugplatz Weißenburg-Wülzburg,49.025851,11.018746,2027,DE,,
small_airport,Wilsche Glider Field,52.524677,10.462597,191,DE,EDVQ,
small_airport,Witzenhausen-Burgberg Glider Field,51.349735,9.824789,659,DE,,
small_airport,Wildberg Glider Airfield,48.637325,8.733327,1670,DE,,
small_airport,Wächtersberg-Hub Glider Airfield,48.614931,8.755457,1965,DE,EDSV,
small_airport,Steinberg in Surwold Glider Airfield,52.956445,7.556663,100,DE,,
small_airport,Flugplatz Altfeld,49.831865,9.537292,1160,DE,,
small_airport,Alsfeld Airfield,50.750565,9.248615,970,DE,,
small_airport,Altdorf-Hagenhausen Airfield,49.387209,11.422145,1770,DE,,
small_airport,Bischofsberg Airfield,50.43247038,10.28706551,1080,DE,,
small_airport,Cham-Janahof Airfield,49.2120465,12.65410423,1200,DE,,
small_airport,Dobenreuth Airfield,49.697,11.1418,1110,DE,,
small_airport,Tirschenreuth  Airfield,49.8739,12.3281,1600,DE,,
small_airport,Paterzell Airfield,47.84692036,11.06108665,1955,DE,,
small_airport,Am Kreuzberg Glider Airfield,50.3088,10.3734,875,DE,,
small_airport,Kronach Airfield,50.243644,11.3589,1520,DE,,
small_airport,Kaufbeuren Air Base,47.8617,10.6143,2400,DE,,
small_airport,Segelflugplatz Karlstadt-Saupurzel,49.971234,9.790516,805,DE,,
small_airport,Altötting Airfield,48.2162,12.6484,1311,DE,,
small_airport,Antersberg Airfield,47.9629,11.9955,1605,DE,,
small_airport,Rammertshof Amberg Airfield,49.4394,11.8107,1280,DE,,
small_airport,Oberleichtersbach Airfield,50.271942,9.823622,1330,DE,,
small_airport,Tröstau Glider Field,50.018763,11.933259,1870,DE,,
small_airport,Königsdorf Gliding Center,47.82868,11.465,1971,DE,,
small_airport,Erbendorf Airfield,49.8438,12.06714,1640,DE,,
small_airport,Kleinhartpenning Ultralight Site,47.8519,11.6667,2375,DE,,
small_airport,Marpingen Glider Airfield,49.453,7.039,1155,DE,,
small_airport,Bad Königshofen Airfield,50.2876,10.4225,1030,DE,,
small_airport,Bad Wörishofen Glider Airfield,48.02678,10.60135,2020,DE,,
small_airport,Benediktbeuern Airfield,47.71564,11.3914,2000,DE,,
small_airport,Brannenburg Airfield,47.74075,12.11548,1539,DE,,
small_airport,Ohlstadt Airfield,47.65869,11.23507,2197,DE,,
small_airport,Büchig Airfield,50.4483,10.2526,1280,DE,,
small_airport,Fichtelbrunn Airfield,49.49818,11.6595,1641,DE,,
small_airport,Friesner Warte Airfield,49.8364,11.04644,1702,DE,,
small_airport,Fürth-Seckendorf Airfield,49.48152,10.8588,1058,DE,,
small_airport,Füssen Glider Airfield,47.58306,10.6909,2589,DE,,
small_airport,Gammelsdorf Glider Field,48.5679,11.9325,1630,DE,,
small_airport,Geitau Airfield,47.6795,11.9622,2730,DE,,
small_airport,Geratshof Airfield,47.9925,10.8442,2096,DE,,
small_airport,Greding Airfield,49.0622,11.2924,1732,DE,,
small_airport,Greiling Airfield,47.7654,11.59546,2357,DE,,
small_airport,Hallertau Airfield,48.64972,11.59687,1266,DE,,
small_airport,Hersbruck Airfield,49.50753,11.4438,1105,DE,,
small_airport,Hienheim Airfield,48.87811,11.76034,1320,DE,,
small_airport,Oberhinkofen Airfield,48.9517,12.1467,1276,DE,,
