Latitude,Longitude,PM25
35.0,32.5,19.444008
35.0,33.125,19.26154
35.0,33.75,19.47062
35.0,34.375,20.0909
35.0,35.0,20.90374
35.0,35.625,22.263424
35.0,36.25,23.94841
35.0,36.875,24.134092
35.0,37.5,24.201433
35.0,38.125,25.453205
35.0,38.75,26.63596
35.0,39.375,35.91394
35.0,40.0,39.6241
35.0,40.625,38.3001
35.0,41.25,39.9515
35.0,41.875,39.4333
35.0,42.5,40.030994
35.0,43.125,38.590027
35.0,43.75,34.31675
35.0,44.375,31.34161
35.0,45.0,29.299202
35.0,45.625,28.67028
35.0,46.25,28.439342
35.0,46.875,28.843353
35.0,47.5,28.933535
35.5,-28.125,4.333782
35.5,-27.5,4.4626193
35.5,-26.875,4.522464
35.5,-26.25,4.5642567
35.5,-25.625,4.6240687
35.5,-25.0,4.721243
35.5,-24.375,4.735648
35.5,-23.75,4.703887
35.5,-23.125,4.676918
35.5,-22.5,4.580859
35.5,-21.875,4.494805
35.5,-21.25,4.440956
35.5,-20.625,4.4649057
35.5,-20.0,4.52067
35.5,-19.375,4.6378484
35.5,-18.75,4.7081327
35.5,-18.125,4.776513
35.5,-17.5,5.0396266
35.5,-16.875,5.4124627
35.5,-16.25,5.694538
35.5,-15.625,5.928852
35.5,-15.0,6.189838
35.5,-14.375,6.488725
35.5,-13.75,6.596195
35.5,-13.125,6.67371
35.5,-12.5,6.5529613
35.5,-11.875,6.478517
35.5,-11.25,6.553889
35.5,-10.625,6.5997806
35.5,-10.0,6.792766
35.5,-9.375,7.220883
35.5,-8.75,7.7901917
35.5,-8.125,8.318242
35.5,-7.5,8.873101
35.5,-6.875,9.658623
35.5,-6.25,10.733219
35.5,-5.625,12.871907
35.5,-5.0,12.514599
35.5,-4.375,12.433924
35.5,-3.75,12.427
35.5,-3.125,12.397256
35.5,-2.5,13.36608
35.5,-1.875,14.170383
35.5,-1.25,15.243765
35.5,-0.625,17.396658
35.5,0.0,18.292837
35.5,0.625,19.063583
35.5,1.25,20.24796
35.5,1.875,22.546545
35.5,2.5,26.098711
35.5,3.125,29.494585
35.5,3.75,32.346626
35.5,4.375,35.808403
35.5,5.0,36.479248
35.5,5.625,33.410603
35.5,6.25,30.201178
35.5,6.875,29.059696
